score,source,target
47.61,/workshop-files//aircare 24nov2005.doc,/workshop-files//supreme court.doc
47.61,/workshop-files//mccarthyism.doc,/workshop-files//taiwan national day.doc
47.84,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//taiwan national day.doc
48.06,/workshop-files//Bike regs.doc,/workshop-files//air nz future.doc
48.06,/workshop-files//key reaction.doc,/workshop-files//kiwisaver amendment.doc
48.29,/workshop-files//belgrave.doc,/workshop-files//key reaction.doc
48.75,/workshop-files//zero tertiary fees.doc,/workshop-files//Grey Power Manawatu 15 July.doc
48.75,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//air nz future.doc
48.97,/workshop-files//mccarthyism.doc,/workshop-files//dhb changes draft.doc
49.20,/workshop-files//key reaction.doc,/workshop-files//dhb changes draft.doc
49.43,/workshop-files//NZ Music Month quiz answers 2006.doc,/workshop-files//dhb changes draft.doc
49.89,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//Grey Power Manawatu 15 July.doc
50.11,/workshop-files//NZ Music Month quiz answers 2006.doc,/workshop-files//election date.doc
50.34,/workshop-files//belgrave.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
50.34,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//dhb changes.doc
50.34,/workshop-files//kiwisaver amendment.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
50.57,/workshop-files//zero tertiary fees.doc,/workshop-files//mccarthyism.doc
50.57,/workshop-files//aircare 23nov2005.doc,/workshop-files//supreme court.doc
50.57,/workshop-files//air nz future.doc,/workshop-files//Sarjeant gallery.doc
50.57,/workshop-files//stalactites.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
50.80,/workshop-files//zero tertiary fees.doc,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc
50.80,/workshop-files//zero tertiary fees.doc,/workshop-files//key reaction.doc
50.80,/workshop-files//air nz future.doc,/workshop-files//Sargent gallery.doc
51.03,/workshop-files//zero tertiary fees.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
51.03,/workshop-files//key reaction.doc,/workshop-files//taiwan national day.doc
51.03,/workshop-files//Sargent gallery.doc,/workshop-files//supreme court.doc
51.25,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//supreme court.doc
51.25,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//te papa 05.doc
51.25,/workshop-files//Sarjeant gallery.doc,/workshop-files//supreme court.doc
51.48,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//air nz future.doc
51.48,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
52.39,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
52.39,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
